video_idx,frame_idx,area_ratio
1,962,0.046596
2,786,0.0708
1,1129,0.0745
1,957,0.074604
2,860,0.074888
6,1586,0.07888
2,800,0.083068
3,624,0.106692
2,793,0.110116
2,788,0.1262
2,865,0.142796
3,649,0.147416
6,208,0.148916
6,2006,0.156708
1,1009,0.158544
6,2005,0.160656
2,161,0.160736
2,796,0.161056
2,794,0.162824
6,1595,0.164864
2,798,0.165028
1,951,0.168632
1,775,0.168944
1,769,0.170732
1,774,0.17074
1,761,0.170748
1,770,0.17078
1,777,0.170792
1,976,0.170896
1,783,0.170932
2,802,0.170964
1,767,0.172332
1,781,0.172596
1,762,0.172616
1,771,0.17262
1,763,0.172644
1,776,0.172652
1,772,0.17266
1,766,0.172736
1,760,0.172776
1,779,0.172784
1,782,0.172784
1,768,0.172792
1,780,0.17282
1,789,0.17344
1,784,0.174436
1,788,0.174652
1,758,0.17466
1,752,0.174684
1,749,0.174712
1,778,0.174728
1,759,0.174732
1,744,0.174744
1,757,0.17482
1,764,0.174856
1,765,0.174864
1,754,0.17636
1,755,0.176388
1,743,0.17656
1,792,0.176564
1,745,0.176568
1,790,0.176568
1,747,0.176584
1,746,0.176592
1,750,0.176644
1,791,0.176696
1,741,0.176704
1,1012,0.176896
6,2001,0.177092
1,748,0.178552
1,756,0.17858
1,850,0.18186
6,2000,0.182508
1,966,0.182516
2,799,0.188564
2,866,0.192752
2,861,0.192776
1,734,0.196644
6,1587,0.196864
1,847,0.196872
2,858,0.200888
1,849,0.200908
1,1511,0.201084
2,857,0.212956
2,878,0.220688
1,1521,0.220716
3,1458,0.220836
1,1516,0.22284
2,19,0.225404
2,801,0.228756
3,1135,0.2309
7,1632,0.23154
1,1517,0.23276
2,840,0.232788
3,1141,0.2329
3,1142,0.232932
3,1140,0.232956
3,1138,0.232996
3,1139,0.2351
3,1137,0.23904
4,1602,0.240772
3,1136,0.242988
1,1518,0.244392
1,829,0.2462
1,977,0.246712
1,1520,0.248272
2,795,0.248836
2,862,0.252512
1,963,0.25472
2,811,0.25512
1,1519,0.255124
2,867,0.258556
1,997,0.260476
2,864,0.260884
2,863,0.26104
1,954,0.262752
4,962,0.267368
1,1515,0.267412
7,1630,0.269256
1,961,0.2727
1,1718,0.272812
1,939,0.274964
4,825,0.277396
4,1601,0.278472
7,1629,0.283104
1,751,0.2888
5,1333,0.288988
2,1662,0.289088
7,1628,0.29332
1,1522,0.294644
2,1657,0.296688
1,1512,0.297416
2,1660,0.298384
7,1053,0.298644
2,1654,0.29902
2,1656,0.29924
2,1655,0.302672
7,1631,0.302752
6,325,0.304656
2,1659,0.305752
5,1722,0.306888
7,1067,0.30832
7,1066,0.308392
5,1661,0.311036
5,1663,0.312896
7,1253,0.3149
2,1658,0.315696
6,316,0.316916
5,1299,0.316976
5,1066,0.317084
2,1651,0.317168
6,1814,0.318572
6,1810,0.32074
2,1648,0.321168
2,1567,0.321616
6,233,0.323052
6,312,0.324832
5,1292,0.326736
6,311,0.326752
5,1657,0.326984
6,315,0.328736
6,229,0.328808
6,232,0.33074
6,230,0.330772
6,234,0.330916
2,1663,0.330928
4,777,0.333816
2,1650,0.3344
6,231,0.334736
7,1082,0.334776
6,227,0.334824
6,226,0.334936
2,1652,0.336448
6,228,0.336856
5,1692,0.338896
2,1568,0.338976
2,1653,0.339004
7,1674,0.33924
7,1113,0.340232
7,1112,0.34034
2,1569,0.340568
5,1725,0.34082
7,1757,0.34082
6,235,0.340912
6,310,0.342828
6,225,0.3448
6,1816,0.3448
4,778,0.345116
7,1252,0.345148
7,1114,0.346372
6,309,0.346824
7,1758,0.347324
7,1251,0.347476
7,1115,0.348316
6,308,0.348988
7,1759,0.349016
7,1116,0.350324
6,307,0.350764
7,1761,0.351224
4,680,0.35136
7,1080,0.352176
7,1079,0.353096
6,1756,0.35356
7,1065,0.35476
6,303,0.354832
5,1693,0.354848
6,306,0.354968
6,1747,0.355008
7,1061,0.356568
7,1762,0.356676
1,1726,0.356764
6,1746,0.356852
5,1723,0.356876
6,223,0.356948
6,1817,0.357132
6,1742,0.358716
6,304,0.358792
5,1699,0.358912
4,671,0.359348
4,770,0.359636
7,1118,0.360288
7,1068,0.360592
6,313,0.360676
7,1754,0.36072
7,1119,0.360836
7,1760,0.360836
5,1695,0.36086
5,1691,0.360948
5,1073,0.36104
6,314,0.361056
5,1697,0.361176
4,313,0.361232
7,1751,0.36252
7,1073,0.362628
7,1109,0.36444
6,1406,0.364524
7,1078,0.36454
5,1724,0.364792
5,921,0.36488
7,1781,0.36492
6,236,0.364924
7,1254,0.365044
7,1064,0.365156
2,1646,0.365304
7,1072,0.366108
7,1081,0.366284
7,1117,0.366356
7,1096,0.366584
5,1712,0.366788
6,224,0.366916
6,1757,0.366996
4,826,0.367096
5,1696,0.367112
5,1694,0.367172
5,1069,0.367284
7,1745,0.367424
2,1661,0.36746
7,1070,0.368336
7,1752,0.36876
5,923,0.368836
5,1321,0.368924
7,1058,0.369
5,924,0.369064
2,1649,0.369572
7,1110,0.370396
7,1111,0.370472
7,1083,0.370604
6,1754,0.370676
5,1721,0.370784
6,1738,0.370804
7,1764,0.370884
7,1767,0.370924
5,920,0.37098
6,1755,0.371016
4,662,0.371224
7,1765,0.372892
5,1689,0.372996
4,708,0.373228
6,1740,0.374632
7,1099,0.374648
6,1743,0.374756
6,1758,0.374796
7,1121,0.374816
6,1405,0.374888
5,62,0.374912
7,1783,0.375008
4,693,0.375148
7,1741,0.375416
6,1750,0.375516
